--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  seo_4_3.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
22.01 22.545 -0.1

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e    socc     lk  s2
   48      1 11B2  0.01 99.98       21,24      0.53 16.751  15.689  0.018 2.0
   48      2 11B2  0.01 99.98 20,21,22,25      0.51 16.751  15.689  0.018 2.0
   48      3 11B2  0.01 99.98 20,21,22,25      0.48 16.751  15.689  0.018 2.0
   48      4 11B2  0.01 99.98       21,24      0.45 16.751  15.689  0.018 2.0
   49      1 11B1  0.03 99.95       21,25      0.53 16.752  15.972  0.037 2.0
   49      2 11B1  0.03 99.95 20,21,22,24       0.5 16.752  15.972  0.037 2.0
   49      3 11B1  0.03 99.95 20,21,22,24      0.48 16.752  15.972  0.037 2.0
   49      4 11B1  0.03 99.95       21,25      0.47 16.752  15.972  0.037 2.0
   53      1 12A1  0.02 99.98       21,26      0.45  17.52  18.108  0.002 2.0
   53      2 12A1  0.02 99.98       21,27      0.39  17.52  18.108  0.002 2.0
   53      3 12A1  0.02 99.98 20,21,22,28      0.39  17.52  18.108  0.002 2.0
   53      4 12A1  0.02 99.98       21,26      0.39  17.52  18.108  0.002 2.0
   53      5 12A1  0.02 99.98       21,27      0.37  17.52  18.108  0.002 2.0
   53      6 12A1  0.02 99.98 20,21,22,28      0.28  17.52  18.108  0.002 2.0
   54      1 13B2  5.28 94.72 20,21,22,25      0.51 17.578 222.437  0.159 2.0
   54      2 13B2  5.28 94.72       21,24      0.47 17.578 222.437  0.159 2.0
   54      3 13B2  5.28 94.72       22,23      0.43 17.578 222.437  0.159 2.0
   54      4 13B2  5.28 94.72 20,21,22,25      0.35 17.578 222.437  0.159 2.0
   55      1 13B1  2.78 97.19 20,21,22,24      0.57  17.68 262.243  -0.13 2.0
   55      2 13B1  2.78 97.19       21,25      0.46  17.68 262.243  -0.13 2.0
   55      3 13B1  2.78 97.19 20,21,22,24      0.39  17.68 262.243  -0.13 2.0
   55      4 13B1  2.78 97.19       20,23      0.35  17.68 262.243  -0.13 2.0
   58      1 14B1  0.45 99.49       21,25      0.78 18.179  102.53  -0.01 2.0
   58      2 14B1  0.45 99.49       21,25      0.47 18.179  102.53  -0.01 2.0
   59      1 14B2  0.98 99.02       21,29       0.5 18.191 177.236 -0.037 2.0
   59      2 14B2  0.98 99.02 20,21,22,30       0.5 18.191 177.236 -0.037 2.0
   59      3 14B2  0.98 99.02       22,23       0.4 18.191 177.236 -0.037 2.0
   59      4 14B2  0.98 99.02 20,21,22,30      0.28 18.191 177.236 -0.037 2.0
   59      5 14B2  0.98 99.02       21,24      0.27 18.191 177.236 -0.037 2.0
   59      6 14B2  0.98 99.02 20,21,22,25      0.26 18.191 177.236 -0.037 2.0
   60      1 15B2   0.7  99.3       21,24      0.74 18.291 106.619 -0.013 2.0
   61      1 15B1  0.14 99.84 20,21,22,29      0.65 18.305  59.082 -0.058 2.0
   61      2 15B1  0.14 99.84       21,30      0.52 18.305  59.082 -0.058 2.0
   61      3 15B1  0.14 99.84 20,21,22,29      0.38 18.305  59.082 -0.058 2.0
   63      1 14A1  0.04 99.96       22,29      0.82 18.444  22.064  0.007 2.0
   63      2 14A1  0.04 99.96       20,30      0.49 18.444  22.064  0.007 2.0
   65      1 16B2  2.97 97.02       21,24      0.48 18.452 142.695 -0.039 2.0
   65      2 16B2  2.97 97.02       22,23       0.4 18.452 142.695 -0.039 2.0
   65      3 16B2  2.97 97.02 20,21,22,30      0.35 18.452 142.695 -0.039 2.0
   65      4 16B2  2.97 97.02       21,24      0.35 18.452 142.695 -0.039 2.0
   65      5 16B2  2.97 97.02 20,21,22,30      0.31 18.452 142.695 -0.039 2.0
   65      6 16B2  2.97 97.02 20,21,22,30      0.26 18.452 142.695 -0.039 2.0
   66      1 16B1  3.53 96.47       20,23      0.58 18.623  191.33 -0.014 2.0
   66      2 16B1  3.53 96.47       21,25      0.36 18.623  191.33 -0.014 2.0
   66      3 16B1  3.53 96.47 20,21,22,29      0.35 18.623  191.33 -0.014 2.0
   66      4 16B1  3.53 96.47 20,21,22,29      0.33 18.623  191.33 -0.014 2.0
   67      1 15A1  0.97 99.03       20,30      0.82 18.824  56.151  0.001 2.0
   67      2 15A1  0.97 99.03       22,29      0.48 18.824  56.151  0.001 2.0
   68      1 17B2  0.01 99.99       21,29      0.52 19.012   0.938  0.005 2.0
   68      2 17B2  0.01 99.99 20,21,22,30       0.5 19.012   0.938  0.005 2.0
   68      3 17B2  0.01 99.99 20,21,22,30       0.5 19.012   0.938  0.005 2.0
   68      4 17B2  0.01 99.99       21,29      0.46 19.012   0.938  0.005 2.0
   69      1 17B1  0.02 99.98       21,30      0.52 19.014   3.832  0.003 2.0
   69      2 17B1  0.02 99.98       21,30       0.5 19.014   3.832  0.003 2.0
   69      3 17B1  0.02 99.98 20,21,22,29      0.49 19.014   3.832  0.003 2.0
   69      4 17B1  0.02 99.98 20,21,22,29      0.46 19.014   3.832  0.003 2.0
   70      1 18B2 10.48 89.51 20,21,22,30      0.69 19.179  60.481 -0.028 2.0
   70      2 18B2 10.48 89.51 20,21,22,30      0.47 19.179  60.481 -0.028 2.0
   71      1 18B1 10.89  89.1 20,21,22,29      0.68 19.269  61.075  0.033 2.0
   71      2 18B1 10.89  89.1 20,21,22,29      0.48 19.269  61.075  0.033 2.0
   72      1 16A1  0.01 99.99       21,27      0.56 19.456   0.357  0.001 2.0
   72      2 16A1  0.01 99.99 20,21,22,28       0.5 19.456   0.357  0.001 2.0
   72      3 16A1  0.01 99.99       21,27      0.49 19.456   0.357  0.001 2.0
