--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  seo_4_3.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
22.01 22.545 -0.1

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e    socc     lk  s2
  183      2 45B1  0.28 99.71 20,21,22,37       0.5 42.046  33.879  0.207 2.0
  183      3 45B1  0.28 99.71       21,38      0.33 42.046  33.879  0.207 2.0
  183      4 45B1  0.28 99.71       20,36      0.32 42.046  33.879  0.207 2.0
  184      1 46B1  0.05 99.95       21,38      0.79 42.237  23.366  0.022 2.0
  184      2 46B1  0.05 99.95       21,38      0.53 42.237  23.366  0.022 2.0
  185      1 46B2  0.01 99.99       21,37      0.87 42.342  13.849 -0.013 2.0
  189      1 47B2  0.08 99.92       22,41      0.94 43.115  56.544  0.063 2.0
  190      1 47B1  0.09 99.91       20,41      0.94 43.359  60.751  -0.05 2.0
  193      1 48B2   0.0 100.0       22,42      0.82 43.701   5.925 -0.113 2.0
  193      2 48B2   0.0 100.0       20,43      0.47 43.701   5.925 -0.113 2.0
  194      1 48B1   0.0 100.0       22,43      0.81 43.704   3.936  0.107 2.0
  194      2 48B1   0.0 100.0       20,42      0.48 43.704   3.936  0.107 2.0
  198      1 45A1   0.0 100.0 20,21,22,43      0.54 43.929   2.129  0.001 2.0
  198      2 45A1   0.0 100.0       20,45       0.4 43.929   2.129  0.001 2.0
  198      3 45A1   0.0 100.0       22,46      0.38 43.929   2.129  0.001 2.0
  198      4 45A1   0.0 100.0       20,47      0.33 43.929   2.129  0.001 2.0
  198      5 45A1   0.0 100.0 20,21,22,43      0.31 43.929   2.129  0.001 2.0
  198      6 45A1   0.0 100.0 20,21,22,43      0.28 43.929   2.129  0.001 2.0

States multiplicity: 
- 0 Singlet states:  []
- 0 Doublet states:  []
- 179 Triplet states:  [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 156, 157, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 182, 183, 184, 185, 186, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
- 0 Quartet states:  []
- 21 Quintet states:  [8, 21, 22, 25, 26, 27, 50, 51, 62, 78, 97, 98, 99, 141, 154, 155, 158, 159, 181, 187, 188]
 
------------------------
 IMPROVED ACTIVE SPACE 
------------------------
Initial active space (HOMO = 22 ): [ 4 , 3 ] ; [20, 21, 22]
Final active space (HOMO = 22 ): [ 12 , 31 ] ; [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47]
 
--------------------------------
 SUM-OVER-STATE ANALYSIS
--------------------------------
 state    gxx     gyy    gzz
     1  0.000   0.000  0.000
     2 -0.000  -0.000 -2.738
     3  0.000  -0.000 -0.000
     4  0.000   0.000 -3.050
     5 80.993   0.000 -0.000
     6  0.000 -78.848 -0.000
     7 -0.000   0.000  0.000
     8 -0.000  -0.000 -0.000
     9 17.237  -0.000 -0.000
    10  0.000  -0.000  0.000
    11  0.000   0.000 -0.000
    12 -0.000   0.000  0.000
    13 -0.000 -17.623 -0.000
    14 -0.000   0.000  0.000
    15  0.000   2.432  0.000
    16 -1.721   0.000  0.000
    17  0.000  -0.000 -0.000
    18 -0.000  -1.147  0.000
    19 -1.468   0.000  0.000
    20  0.000  -0.000  0.000
    21  0.000   0.000  0.000
    22  0.000  -0.000  0.000
    23 -0.000  -0.015  0.000
    24  0.022  -0.000  0.000
    25  0.000   0.000  0.000
    26  0.000   0.000 -0.000
    27  0.000   0.000  0.000
    28  0.996  -0.000  0.000
    29 -0.000  -0.000  0.000
    30  0.000   0.000 -0.063
    31 -0.000  -0.250  0.000
    32 -0.969   0.000 -0.000
    33  0.000  -0.000  0.000
    34 -0.000   0.000 -0.002
    35  0.000   0.261  0.000
    36  0.000   0.000 -0.000
    37  0.000  -0.000 -0.070
    38  2.590  -0.000  0.000
    39 -0.000  -2.609 -0.000
    40  0.000   0.000 -0.000
    41  1.574  -0.000 -0.000
    42  0.000   0.000 -0.000
    43  0.000  -0.000  0.001
    44  0.000   0.000 -0.000
    45  0.000   1.657  0.000
    46  0.000  -0.000 -0.000
    47  0.000   0.000  0.000
    48 -0.008  -0.000  0.000
    49  0.000  -0.017  0.000
    50  0.000  -0.000 -0.000
    51 -0.000   0.000 -0.000
    52 -0.000   0.000  0.000
    53 -0.000  -0.000 -0.001
    54 -0.999  -0.000 -0.000
    55 -0.000   0.959 -0.000
    56  0.000   0.000  0.000
    57 -0.000   0.000  0.001
    58 -0.000   0.027 -0.000
    59  0.180   0.000  0.000
    60  0.038  -0.000  0.000
    61  0.000   0.093  0.000
    62 -0.000   0.000 -0.000
    63 -0.000   0.000 -0.004
    64  0.000   0.000 -0.000
    65  0.150   0.000 -0.000
    66 -0.000   0.073 -0.000
    67  0.000  -0.000 -0.002
    68 -0.000  -0.000  0.000
    69  0.000  -0.000 -0.000
    70  0.043   0.000  0.000
    71 -0.000  -0.052  0.000
    72 -0.000  -0.000 -0.000
    73 -0.000   0.000  0.000
    74  0.000   0.000 -0.000
    75 -0.000   0.000  0.000
    76 -3.795   0.000  0.000
    77 -0.000   0.000  0.000
    78 -0.000   0.000 -0.000
    79 -0.000  -1.203  0.000
    80  0.000  -0.000 -0.000
    81  0.000   0.000  0.000
    82 -0.482   0.000  0.000
    83  0.000   2.981 -0.000
    84 -0.000   0.000 -0.000
    85  0.000  -0.000  0.000
    86 -0.000  -0.000  0.000
    87 -0.191  -0.000  0.000
    88  0.000   0.000 -0.000
    89  0.000   0.000 -0.000
    90  0.000   0.252  0.000
    91  0.000   0.000  0.000
    92 -0.000   0.000 -0.000
    93  3.452  -0.000 -0.000
    94 -0.000  -3.595 -0.000
    95 -0.310   0.000  0.000
    96 -0.000  -0.451 -0.000
    97 -0.000   0.000  0.000
    98 -0.000  -0.000  0.000
    99  0.000   0.000  0.000
   100 -0.000  -0.000  0.000
   101 -0.523  -0.000 -0.000
   102 -0.000   0.588 -0.000
   103 -0.000   0.000  0.000
   104 -0.003   0.000  0.000
   105  0.000   0.000  0.000
   106  0.000  -0.000 -0.000
   107 -0.000  -0.001  0.000
   108  0.335  -0.000  0.000
   109 -0.000  -0.396  0.000
   110  0.236  -0.000 -0.000
   111 -0.000  -0.128 -0.000
   112  0.000   0.000 -0.000
   113 -0.000  -0.045 -0.000
   114  0.000   0.000 -0.000
   115  0.000  -0.000 -0.000
   116  0.000  -0.000  0.000
   117  0.000   0.024  0.000
   118  0.025  -0.000 -0.000
   119  0.000   0.000  0.000
   120  0.143  -0.000 -0.000
   121 -0.000  -0.083 -0.000
   122  0.000  -0.000  0.000
   123 -0.000  -0.000  0.000
   124 -0.000   0.000 -0.000
   125 -0.002  -0.000 -0.000
   126  0.000  -0.008 -0.000
   127  0.000   0.000  0.000
   128 -0.000   0.000 -0.000
   129 -0.082   0.000  0.000
   130  0.000   0.067  0.000
   131  0.073  -0.000 -0.000
   132  0.004  -0.000  0.000
   133 -0.000  -0.062 -0.000
   134 -0.000  -0.004 -0.000
   135 -0.000  -0.000 -0.001
   136  0.000  -0.000 -0.000
   137 -0.000   0.000 -0.001
   138 -0.000  -0.000 -0.000
   139  0.000   0.000  0.000
   140  0.000  -0.000 -0.000
   141  0.000  -0.000 -0.000
   142 -0.000  -0.000 -0.000
   143 -0.000   0.000 -0.000
   144 -0.000   0.000  0.000
   145 -0.000  -0.000  0.000
   146 -0.000   0.000  0.000
   147  0.000   0.000  0.000
   148  0.012  -0.000 -0.000
   149 -0.000  -0.012 -0.000
   150 -0.000  -0.000 -0.000
   151 -0.000   0.000 -0.000
   152  2.055  -0.000 -0.000
   153 -0.000  -1.898  0.000
   154  0.000  -0.000  0.000
   155  0.000  -0.000  0.000
   156  0.001  -0.000  0.000
   157 -0.000  -0.001  0.000
   158 -0.000   0.000 -0.000
   159 -0.000  -0.000  0.000
   160  0.015  -0.000 -0.000
   161  0.000   0.019 -0.000
   162  0.040   0.000 -0.000
   163 -0.000   0.039  0.000
   164  0.000  -0.000 -0.000
   165 -0.000  -0.000 -0.000
   166 -0.003   0.000 -0.000
   167  0.000   0.001 -0.000
   168 -0.000  -0.000  0.000
   169 -0.000   0.000  0.000
   170 -0.076   0.000  0.000
   171 -0.065  -0.000  0.000
   172 -0.000   0.009  0.000
   173  0.000  -0.000 -0.000
   174  0.000   0.013  0.000
   175 -0.000  -0.000  0.000
   176  0.000  -0.000  0.000
   177  0.000  -0.000  0.000
   178 -0.000  -0.000  0.000
   179 -0.000  -0.000  0.000
   180  0.100  -0.000  0.000
   181 -0.000   0.000 -0.000
   182  0.000   0.000 -0.000
   183 -0.000  -0.083  0.000
   184  0.000  -0.006 -0.000
   185  0.002   0.000 -0.000
   186  0.000  -0.000 -0.000
   187  0.000   0.000  0.000
   188 -0.000   0.000  0.000
   189 -0.041   0.000 -0.000
   190  0.000   0.035 -0.000
   191 -0.000  -0.000  0.000
   192  0.000  -0.000 -0.000
   193  0.008  -0.000 -0.000
   194 -0.000  -0.005  0.000
   195  0.000  -0.000  0.000
   196 -0.000  -0.000 -0.000
   197 -0.000  -0.000  0.000
   198  0.000  -0.000 -0.000
   199  0.000   0.000 -0.000
   200  0.000  -0.000 -0.000

