--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  mni_6_6.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
-1.669 -1.653 -0.001

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part       unpairedorb amplitude      e    socc     lk   s2
   77      2 20B2  0.01 99.99 23,24,25,27,28,40      0.47 19.306  89.995 -0.371 12.0
   78      1 20B1  0.01 99.99 23,24,26,27,28,35      0.85 19.306  89.995  0.371 12.0
   78      2 20B1  0.01 99.99 23,24,26,27,28,40      0.47 19.306  89.995  0.371 12.0
   83      1 21B1   0.0 100.0 23,24,25,26,28,38      0.95 21.835   13.54  0.123 12.0
   84      1 21B2   0.0 100.0 23,24,25,26,28,39      0.95 21.835   13.54 -0.123 12.0
   91      1 23B1   0.0 100.0 23,25,26,27,28,39      0.69 22.413   8.397  0.007 12.0
   91      2 23B1   0.0 100.0 24,25,26,27,28,38      0.69 22.413   8.397  0.007 12.0
   92      1 23B2   0.0 100.0 24,25,26,27,28,39      0.69 22.413   8.397 -0.007 12.0
   92      2 23B2   0.0 100.0 23,25,26,27,28,38      0.69 22.413   8.397 -0.007 12.0
   94      1 24B2   0.0 100.0 23,24,25,27,28,40      0.74 23.177  20.871 -0.413 12.0
   94      2 24B2   0.0 100.0 23,24,25,27,28,35      0.47 23.177  20.871 -0.413 12.0
   94      3 24B2   0.0 100.0 23,24,25,27,28,43      0.43 23.177  20.871 -0.413 12.0
   95      1 24B1   0.0 100.0 23,24,26,27,28,40      0.74 23.177  20.871  0.413 12.0
   95      2 24B1   0.0 100.0 23,24,26,27,28,35      0.47 23.177  20.871  0.413 12.0
   95      3 24B1   0.0 100.0 23,24,26,27,28,43      0.43 23.177  20.871  0.413 12.0
  103      1 26B1  0.01 99.99 23,24,26,27,28,42      0.61 24.399  25.395 -0.223 12.0
  103      2 26B1  0.01 99.99 23,24,25,27,28,41      0.61 24.399  25.395 -0.223 12.0
  103      3 26B1  0.01 99.99 23,24,26,27,28,41      0.35 24.399  25.395 -0.223 12.0
  103      4 26B1  0.01 99.99 23,24,25,27,28,42      0.35 24.399  25.395 -0.223 12.0
  104      1 27B1  0.01 99.99 23,24,26,27,28,41      0.61 24.399  25.395 -0.223 12.0
  104      2 27B1  0.01 99.99 23,24,25,27,28,42      0.61 24.399  25.395 -0.223 12.0
  104      3 27B1  0.01 99.99 23,24,26,27,28,42      0.35 24.399  25.395 -0.223 12.0
  104      4 27B1  0.01 99.99 23,24,25,27,28,41      0.35 24.399  25.395 -0.223 12.0
  110      1 26B2   0.0 100.0 23,24,25,27,28,43      0.87 25.124  75.848   0.14 12.0
  111      1 28B1   0.0 100.0 23,24,26,27,28,43      0.87 25.124  75.848  -0.14 12.0
  114      1 29B1  0.07 99.93 23,24,25,26,28,44      0.77 25.627  43.792 -0.376 12.0
  114      2 29B1  0.07 99.93 23,24,25,26,27,47      0.59 25.627  43.792 -0.376 12.0
  115      1 27B2  0.07 99.93 23,24,25,26,28,45      0.77 25.627  43.792 -0.376 12.0
  115      2 27B2  0.07 99.93 23,24,25,26,27,48      0.59 25.627  43.792 -0.376 12.0
  118      1 30B1  0.01 99.99 23,24,25,26,27,47      0.75 25.792  11.554  0.351 12.0
  118      2 30B1  0.01 99.99 23,24,25,26,28,44      0.56 25.792  11.554  0.351 12.0
  119      1 28B2  0.01 99.99 23,24,25,26,27,48      0.75 25.792  11.554  0.351 12.0
  119      2 28B2  0.01 99.99 23,24,25,26,28,45      0.56 25.792  11.554  0.351 12.0
  125      1 29B2  99.9   0.1 19,23,24,25,27,28      0.99 25.997   6.401 -0.047 12.0
  126      1 31B1  99.9   0.1 19,23,24,26,27,28      0.99 25.997   6.401 -0.047 12.0
  131      1 33B1  0.01 99.99 23,25,26,27,28,45      0.69 26.278  44.585 -0.337 12.0
  131      2 33B1  0.01 99.99 24,25,26,27,28,44      0.69 26.278  44.585 -0.337 12.0
  132      1 31B2  0.01 99.99 24,25,26,27,28,45      0.69 26.278  44.585  0.337 12.0
  132      2 31B2  0.01 99.99 23,25,26,27,28,44      0.69 26.278  44.585  0.337 12.0
  135      1 32B2   0.0 100.0 23,24,25,27,28,46      0.73 31.496 315.262  0.027 12.0
  135      2 32B2   0.0 100.0 23,24,25,27,28,51      0.45 31.496 315.262  0.027 12.0
  136      1 34B1   0.0 100.0 23,24,26,27,28,46      0.73 31.496 315.262 -0.027 12.0
  136      2 34B1   0.0 100.0 23,24,26,27,28,51      0.45 31.496 315.262 -0.027 12.0
  144      1 35B1   0.0 100.0 23,24,25,26,28,47      0.84 31.817  321.72 -0.078 12.0
  145      1 35B2   0.0 100.0 23,24,25,26,28,48      0.84 31.817  321.72 -0.078 12.0
  148      1 36B2   0.0 100.0 23,24,26,27,28,50       0.6 32.146  34.797 -0.007 12.0
  148      2 36B2   0.0 100.0 23,24,25,27,28,49       0.6 32.146  34.797 -0.007 12.0
  148      3 36B2   0.0 100.0 23,24,25,27,28,46      0.36 32.146  34.797 -0.007 12.0
  149      1 36B1   0.0 100.0 23,24,26,27,28,49       0.6 32.146  34.797  0.007 12.0
  149      2 36B1   0.0 100.0 23,24,25,27,28,50       0.6 32.146  34.797  0.007 12.0
  149      3 36B1   0.0 100.0 23,24,26,27,28,46      0.36 32.146  34.797  0.007 12.0
  156      1 38B1   0.0 100.0 23,25,26,27,28,48      0.63 32.762  98.848 -0.009 12.0
  156      2 38B1   0.0 100.0 24,25,26,27,28,47      0.63 32.762  98.848 -0.009 12.0
  157      1 38B2   0.0 100.0 24,25,26,27,28,48      0.63 32.762  98.848  0.009 12.0
  157      2 38B2   0.0 100.0 23,25,26,27,28,47      0.63 32.762  98.848  0.009 12.0
  163      1 40B2   0.0 100.0 23,24,25,26,27,57      0.65  36.74 116.419 -0.219 12.0
  163      2 40B2   0.0 100.0 23,24,25,27,28,51      0.59  36.74 116.419 -0.219 12.0
  163      3 40B2   0.0 100.0 23,24,25,27,28,46      0.39  36.74 116.419 -0.219 12.0
  164      1 40B1   0.0 100.0 23,24,25,26,27,56      0.65  36.74 116.419 -0.219 12.0
  164      2 40B1   0.0 100.0 23,24,26,27,28,51      0.59  36.74 116.419 -0.219 12.0
  164      3 40B1   0.0 100.0 23,24,26,27,28,46      0.39  36.74 116.419 -0.219 12.0
  165      1 41B1   0.0 100.0 23,24,25,26,27,57      0.53 36.762  88.336  0.136 12.0
  165      2 41B1   0.0 100.0 23,24,25,26,27,56      0.46 36.762  88.336  0.136 12.0
  165      3 41B1   0.0 100.0 23,24,25,27,28,51      0.42 36.762  88.336  0.136 12.0
  165      4 41B1   0.0 100.0 23,24,26,27,28,51      0.36 36.762  88.336  0.136 12.0
  165      5 41B1   0.0 100.0 23,24,25,27,28,46      0.28 36.762  88.336  0.136 12.0
  166      1 42B1   0.0 100.0 23,24,25,26,27,56      0.53 36.762  88.336  0.136 12.0
  166      2 42B1   0.0 100.0 23,24,25,26,27,57      0.46 36.762  88.336  0.136 12.0
  166      3 42B1   0.0 100.0 23,24,26,27,28,51      0.42 36.762  88.336  0.136 12.0
  166      4 42B1   0.0 100.0 23,24,25,27,28,51      0.36 36.762  88.336  0.136 12.0
  166      5 42B1   0.0 100.0 23,24,26,27,28,46      0.28 36.762  88.336  0.136 12.0
  171      1 43B1   0.0 100.0 23,24,25,26,27,59      0.96 42.476 109.799   0.14 12.0
  172      1 41B2   0.0 100.0 23,24,25,26,27,60      0.96 42.476 109.799   0.14 12.0
  177      1 44B2   0.0 100.0 23,24,26,27,28,52      0.62 44.496  16.493 -0.094 12.0
  177      2 44B2   0.0 100.0 23,24,25,27,28,53      0.62 44.496  16.493 -0.094 12.0
  177      3 44B2   0.0 100.0 23,24,26,27,28,53      0.34 44.496  16.493 -0.094 12.0
  177      4 44B2   0.0 100.0 23,24,25,27,28,52      0.34 44.496  16.493 -0.094 12.0
  178      1 45B2   0.0 100.0 23,24,26,27,28,53      0.62 44.496  16.493 -0.094 12.0
  178      2 45B2   0.0 100.0 23,24,25,27,28,52      0.62 44.496  16.493 -0.094 12.0
  178      3 45B2   0.0 100.0 23,24,26,27,28,52      0.34 44.496  16.493 -0.094 12.0
  178      4 45B2   0.0 100.0 23,24,25,27,28,53      0.34 44.496  16.493 -0.094 12.0
  189      1 44B1   0.0 100.0 23,24,25,26,28,56      0.94 45.114  99.394 -0.282 12.0
  190      1 48B2   0.0 100.0 23,24,25,26,28,57      0.94 45.114  99.394 -0.282 12.0
  191      1 49B2   0.0 100.0 24,25,26,27,28,54      0.59  45.26   0.778   0.01 12.0
  191      2 49B2   0.0 100.0 23,25,26,27,28,55      0.59  45.26   0.778   0.01 12.0
  191      3 49B2   0.0 100.0 24,25,26,27,28,55      0.38  45.26   0.778   0.01 12.0
  191      4 49B2   0.0 100.0 23,25,26,27,28,54      0.38  45.26   0.778   0.01 12.0
  192      1 50B2   0.0 100.0 24,25,26,27,28,55      0.59  45.26   0.778  -0.01 12.0
  192      2 50B2   0.0 100.0 23,25,26,27,28,54      0.59  45.26   0.778  -0.01 12.0
  192      3 50B2   0.0 100.0 24,25,26,27,28,54      0.38  45.26   0.778  -0.01 12.0
  192      4 50B2   0.0 100.0 23,25,26,27,28,55      0.38  45.26   0.778  -0.01 12.0
  200      1 46B1   0.0 100.0 23,25,26,27,28,57      0.68 45.815  82.947  -0.19 12.0
  200      2 46B1   0.0 100.0 24,25,26,27,28,56      0.68 45.815  82.947  -0.19 12.0

States multiplicity: 
- 0 Singlet states:  []
- 0 Doublet states:  []
- 0 Triplet states:  []
- 0 Quartet states:  []
- 0 Quintet states:  []
 
------------------------
 IMPROVED ACTIVE SPACE 
------------------------
Initial active space (HOMO = 28 ): [ 6 , 6 ] ; [23, 24, 25, 26, 27, 28]
Final active space (HOMO = 28 ): [ 14 , 41 ] ; [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60]
 
--------------------------------
 SUM-OVER-STATE ANALYSIS
--------------------------------
 state    gxx    gyy  gzz
     1  0.000  0.000  0.0
     2  4.060 18.432 -0.0
     3 18.432 -4.060  0.0
     4  0.000  0.000  0.0
     5  0.000 -0.106  0.0
     6  0.106  0.000  0.0
     7  0.000  0.000  0.0
     8  0.000  0.000 -0.0
     9 -0.000 -0.000  0.0
    10  0.000 -0.000 -0.0
    11 -0.613  0.002  0.0
    12 -0.002 -0.613 -0.0
    13  0.000  0.000 -0.0
    14 -0.000  0.017  0.0
    15  0.017  0.000 -0.0
    16  0.000 -0.000 -0.0
    17  0.000  0.000 -0.0
    18 -0.000 -0.000 -0.0
    19 -0.000 -0.000  0.0
    20  0.000 -0.000 -0.0
    21 -0.000 -0.000 -0.0
    22  1.028  0.002  0.0
    23 -0.002  1.028 -0.0
    24 -0.001  0.681 -0.0
    25  0.681  0.001 -0.0
    26  0.000 -0.000 -0.0
    27  0.000 -0.000  0.0
    28 -0.000 -0.000  0.0
    29 -0.001 -0.000 -0.0
    30 -0.000  0.001 -0.0
    31 -0.000  0.000  0.0
    32 -0.000 -0.000  0.0
    33  0.011  0.096 -0.0
    34 -0.096  0.011 -0.0
    35 -0.000  0.000  0.0
    36 -0.000 -0.000 -0.0
    37  0.000  0.000 -0.0
    38 -0.000  0.127 -0.0
    39 -0.127 -0.000 -0.0
    40 -0.000 -0.000  0.0
    41 -0.000  0.000  0.0
    42  0.000 -1.888 -0.0
    43  1.888  0.000 -0.0
    44 -0.000  0.000 -0.0
    45 -0.000 -0.000 -0.0
    46 -0.000  0.000 -0.0
    47  0.000 -0.000  0.0
    48  0.000  0.000  0.0
    49 -0.000  0.000  0.0
    50  0.000  0.134  0.0
    51 -0.134  0.000  0.0
    52  0.000  0.000 -0.0
    53  0.000 -0.000 -0.0
    54 -0.000 -0.000  0.0
    55 -0.563 -0.000  0.0
    56  0.000 -0.563 -0.0
    57  0.000  0.000 -0.0
    58 -0.000  0.000  0.0
    59 -0.000 -0.000 -0.0
    60 -0.000  0.000  0.0
    61 -0.135 -0.000 -0.0
    62 -0.000  0.135 -0.0
    63  0.000 -0.000  0.0
    64 -0.000 -0.000  0.0
    65 -0.000  0.000  0.0
    66 -0.003  0.437 -0.0
    67  0.437  0.003  0.0
    68  0.000 -0.000 -0.0
    69 -0.000 -0.000  0.0
    70 -0.000 -0.000 -0.0
    71 -0.000 -0.000 -0.0
    72  0.000 -0.000  0.0
    73  0.000  0.000  0.0
    74  0.323  0.000  0.0
    75  0.000 -0.323  0.0
    76 -0.000  0.000 -0.0
    77 -0.001  0.858  0.0
    78 -0.858 -0.001  0.0
    79  0.000 -0.000  0.0
    80  0.000 -0.000 -0.0
    81 -0.000  0.000 -0.0
    82  0.000  0.000 -0.0
    83 -0.038 -0.000  0.0
    84 -0.000  0.038  0.0
    85  0.000 -0.000  0.0
    86  0.000 -0.000 -0.0
    87  0.000  0.000  0.0
    88 -0.000 -0.000 -0.0
    89  0.000 -0.000  0.0
    90  0.000  0.000  0.0
    91 -0.001  0.000  0.0
    92  0.000  0.001  0.0
    93 -0.000  0.000 -0.0
    94  0.000  0.184  0.0
    95 -0.184  0.000  0.0
    96  0.000  0.000  0.0
    97 -0.000  0.000  0.0
    98 -0.000  0.000  0.0
    99  0.000  0.000 -0.0
   100 -0.000  0.000 -0.0
   101 -0.000  0.000  0.0
   102 -0.000 -0.000  0.0
   103  0.115 -0.065 -0.0
   104  0.065  0.115  0.0
   105 -0.000  0.000 -0.0
   106 -0.000  0.000  0.0
   107  0.000 -0.000 -0.0
   108  0.000 -0.000 -0.0
   109  0.000 -0.000  0.0
   110  0.000 -0.210 -0.0
   111  0.210  0.000 -0.0
   112  0.000 -0.000 -0.0
   113 -0.000  0.000 -0.0
   114  0.319  0.000  0.0
   115 -0.000  0.319 -0.0
   116 -0.000 -0.000  0.0
   117 -0.000  0.000  0.0
   118 -0.078  0.000  0.0
   119 -0.000 -0.078 -0.0
   120 -0.000 -0.000 -0.0
   121 -0.000  0.000  0.0
   122  0.000  0.000 -0.0
   123 -0.000  0.000 -0.0
   124  0.000 -0.000 -0.0
   125 -0.000  0.006 -0.0
   126  0.006  0.000  0.0
   127 -0.000 -0.000  0.0
   128 -0.000 -0.000  0.0
   129  0.000 -0.000  0.0
   130  0.000  0.000  0.0
   131  0.283 -0.003  0.0
   132 -0.003 -0.283  0.0
   133  0.000  0.000  0.0
   134  0.000 -0.000  0.0
   135  0.000 -0.134 -0.0
   136  0.134  0.000 -0.0
   137 -0.000  0.000 -0.0
   138  0.000  0.000  0.0
   139  0.000 -0.000  0.0
   140  0.000 -0.000 -0.0
   141 -0.000 -0.000  0.0
   142 -0.000  0.000 -0.0
   143  0.000  0.000  0.0
   144  0.390 -0.001  0.0
   145  0.001  0.390 -0.0
   146 -0.000  0.000  0.0
   147  0.000  0.000  0.0
   148 -0.000  0.004  0.0
   149 -0.004 -0.000  0.0
   150 -0.000 -0.000 -0.0
   151  0.000  0.000  0.0
   152 -0.000 -0.000 -0.0
   153  0.000 -0.000 -0.0
   154  0.000  0.000  0.0
