--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  crf_5_5.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
-35.664 -35.664 -0.124

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part    unpairedorb amplitude      e    socc     lk   s2
   41      2 10B2  0.01 99.99 15,16,18,19,25      0.57 13.594  56.618 -0.012 8.75
   41      3 10B2  0.01 99.99 15,16,18,19,24      0.37 13.594  56.618 -0.012 8.75
   41      4 10B2  0.01 99.99 15,17,18,19,25      0.37 13.594  56.618 -0.012 8.75
   42      1 10B1  0.01 99.99 15,17,18,19,25      0.57 13.594  56.618 -0.012 8.75
   42      2 10B1  0.01 99.99 15,16,18,19,24      0.57 13.594  56.618 -0.012 8.75
   42      3 10B1  0.01 99.99 15,16,18,19,25      0.37 13.594  56.618 -0.012 8.75
   42      4 10B1  0.01 99.99 15,17,18,19,24      0.37 13.594  56.618 -0.012 8.75
   45      1 12B1  0.02 99.98 15,16,17,18,27      0.56 13.844  41.478  0.099 8.75
   45      2 12B1  0.02 99.98 15,16,17,19,26      0.56 13.844  41.478  0.099 8.75
   45      3 12B1  0.02 99.98 15,16,17,18,22      0.31 13.844  41.478  0.099 8.75
   45      4 12B1  0.02 99.98 15,16,17,19,21      0.31 13.844  41.478  0.099 8.75
   46      1 12B2  0.02 99.98 15,16,17,19,27      0.56 13.844  41.478  0.099 8.75
   46      2 12B2  0.02 99.98 15,16,17,18,26      0.56 13.844  41.478  0.099 8.75
   46      3 12B2  0.02 99.98 15,16,17,19,22      0.31 13.844  41.478  0.099 8.75
   46      4 12B2  0.02 99.98 15,16,17,18,21      0.31 13.844  41.478  0.099 8.75
   53      1 13B1  8.47 91.53 15,16,18,19,28      0.57 15.883    7.74  -0.33 8.75
   53      2 13B1  8.47 91.53 15,17,18,19,28      0.45 15.883    7.74  -0.33 8.75
   53      3 13B1  8.47 91.53 15,16,18,19,29      0.43 15.883    7.74  -0.33 8.75
   53      4 13B1  8.47 91.53 15,17,18,19,29      0.34 15.883    7.74  -0.33 8.75
   54      1 14B1  8.47 91.53 15,17,18,19,28      0.57 15.883    7.74   0.33 8.75
   54      2 14B1  8.47 91.53 15,16,18,19,28      0.45 15.883    7.74   0.33 8.75
   54      3 14B1  8.47 91.53 15,17,18,19,29      0.43 15.883    7.74   0.33 8.75
   54      4 14B1  8.47 91.53 15,16,18,19,29      0.34 15.883    7.74   0.33 8.75
   55      1 13B2 91.35  8.65 12,15,16,18,19      0.89 16.045  62.406 -0.495 8.75
   56      1 15B1 91.35  8.65 12,15,17,18,19      0.89 16.045  62.406 -0.495 8.75
   64      1 17B1 99.74  0.26 13,15,16,17,19      0.65 16.595  15.875   0.19 8.75
   64      2 17B1 99.74  0.26 14,15,16,17,18      0.65 16.595  15.875   0.19 8.75
   65      1 18B1 99.74  0.26 13,15,16,17,18      0.65 16.595  15.875   0.19 8.75
   65      2 18B1 99.74  0.26 14,15,16,17,19      0.65 16.595  15.875   0.19 8.75
   69      1 15B2  0.35 99.65 16,17,18,19,33      0.78 17.556   9.296 -0.049 8.75
   69      2 15B2  0.35 99.65 16,17,18,19,32      0.62 17.556   9.296 -0.049 8.75
   70      1 16B2  0.35 99.65 16,17,18,19,32      0.78 17.556   9.296 -0.049 8.75
   70      2 16B2  0.35 99.65 16,17,18,19,33      0.62 17.556   9.296 -0.049 8.75
   78      1 21B1   0.0 100.0 15,17,18,19,31      0.62 21.622  186.22 -0.025 8.75
   78      2 21B1   0.0 100.0 15,16,18,19,30      0.62 21.622  186.22 -0.025 8.75
   79      1 17B2   0.0 100.0 15,17,18,19,30      0.62 21.622  186.22 -0.025 8.75
   79      2 17B2   0.0 100.0 15,16,18,19,31      0.62 21.622  186.22 -0.025 8.75
   80      1 22B1  0.01 99.99 15,16,17,19,32      0.55 21.814  66.808 -0.048 8.75
   80      2 22B1  0.01 99.99 15,16,17,18,33      0.55 21.814  66.808 -0.048 8.75
   80      3 22B1  0.01 99.99 15,16,17,19,33      0.32 21.814  66.808 -0.048 8.75
   80      4 22B1  0.01 99.99 15,16,17,18,32      0.32 21.814  66.808 -0.048 8.75
   81      1 23B1  0.01 99.99 15,16,17,18,32      0.55 21.814  66.808  0.048 8.75
   81      2 23B1  0.01 99.99 15,16,17,19,33      0.55 21.814  66.808  0.048 8.75
   81      3 23B1  0.01 99.99 15,16,17,18,33      0.32 21.814  66.808  0.048 8.75
   81      4 23B1  0.01 99.99 15,16,17,19,32      0.32 21.814  66.808  0.048 8.75
   89      1 26B1   0.0 100.0 15,16,18,19,34      0.73 23.341  93.268 -0.128 8.75
   89      2 26B1   0.0 100.0 15,17,18,19,34      0.57 23.341  93.268 -0.128 8.75
   90      1 27B1   0.0 100.0 15,17,18,19,34      0.73 23.341  93.268  0.128 8.75
   90      2 27B1   0.0 100.0 15,16,18,19,34      0.57 23.341  93.268  0.128 8.75
   93      1 18B2   0.0 100.0 16,17,18,19,36      0.99 26.905   12.16 -0.048 8.75
   94      1 19B2   0.0 100.0 16,17,18,19,37      0.99 26.905   12.16 -0.048 8.75
   97      1 28B1   0.0 100.0 15,16,18,19,35      0.73 31.547  31.498   0.13 8.75
   97      2 28B1   0.0 100.0 15,17,18,19,35      0.66 31.547  31.498   0.13 8.75
   98      1 29B1   0.0 100.0 15,17,18,19,35      0.73 31.547  31.498  -0.13 8.75
   98      2 29B1   0.0 100.0 15,16,18,19,35      0.66 31.547  31.498  -0.13 8.75
  101      1 22B2   0.0 100.0 15,16,17,18,37      0.61  32.36   6.145 -0.034 8.75
  101      2 22B2   0.0 100.0 15,16,17,19,36      0.61  32.36   6.145 -0.034 8.75
  101      3 22B2   0.0 100.0 15,16,17,19,37      0.36  32.36   6.145 -0.034 8.75
  101      4 22B2   0.0 100.0 15,16,17,18,36      0.36  32.36   6.145 -0.034 8.75
  102      1 23B2   0.0 100.0 15,16,17,19,37      0.61  32.36   6.145 -0.034 8.75
  102      2 23B2   0.0 100.0 15,16,17,18,36      0.61  32.36   6.145 -0.034 8.75
  102      3 23B2   0.0 100.0 15,16,17,18,37      0.36  32.36   6.145 -0.034 8.75
  102      4 23B2   0.0 100.0 15,16,17,19,36      0.36  32.36   6.145 -0.034 8.75
  111      1 30B1  0.11 99.89 15,16,18,19,38      0.64 39.711  67.147 -0.116 8.75
  111      2 30B1  0.11 99.89 15,17,18,19,38      0.63 39.711  67.147 -0.116 8.75
  112      1 31B1  0.11 99.89 15,17,18,19,38      0.64 39.711  67.147  0.116 8.75
  112      2 31B1  0.11 99.89 15,16,18,19,38      0.63 39.711  67.147  0.116 8.75
  113      1 24B2   1.6  98.4 16,17,18,19,39       0.8 40.184 299.592 -0.115 8.75
  113      2 24B2   1.6  98.4 16,17,18,19,40      0.52 40.184 299.592 -0.115 8.75
  114      1 25B2   1.6  98.4 16,17,18,19,40       0.8 40.184 299.592  0.115 8.75
  114      2 25B2   1.6  98.4 16,17,18,19,39      0.52 40.184 299.592  0.115 8.75
  117      1 28B2 96.62  3.38 11,15,16,18,19      0.91 40.509  39.616 -0.079 8.75
  118      1 32B1 96.62  3.38 11,15,17,18,19      0.91 40.509  39.616 -0.079 8.75
  121      1 29B2  1.66 98.34 15,16,17,19,40      0.52 40.865  75.855  0.215 8.75
  121      2 29B2  1.66 98.34 15,16,17,18,39      0.52 40.865  75.855  0.215 8.75
  121      3 29B2  1.66 98.34 15,16,17,18,40      0.42 40.865  75.855  0.215 8.75
  121      4 29B2  1.66 98.34 15,16,17,19,39      0.42 40.865  75.855  0.215 8.75
  122      1 30B2  1.66 98.34 15,16,17,18,40      0.52 40.865  75.855  0.215 8.75
  122      2 30B2  1.66 98.34 15,16,17,19,39      0.52 40.865  75.855  0.215 8.75
  122      3 30B2  1.66 98.34 15,16,17,19,40      0.42 40.865  75.855  0.215 8.75
  122      4 30B2  1.66 98.34 15,16,17,18,39      0.42 40.865  75.855  0.215 8.75
  130      1 33B1   0.0 100.0 15,17,18,19,41      0.66 44.877  99.636  0.022 8.75
  130      2 33B1   0.0 100.0 15,16,18,19,41      0.62 44.877  99.636  0.022 8.75
  131      1 34B1   0.0 100.0 15,16,18,19,41      0.66 44.877  99.636 -0.022 8.75
  131      2 34B1   0.0 100.0 15,17,18,19,41      0.62 44.877  99.636 -0.022 8.75
  135      1 35B1   0.0 100.0 15,17,18,19,42      0.76 54.607  86.805 -0.113 8.75
  135      2 35B1   0.0 100.0 15,16,18,19,42      0.62 54.607  86.805 -0.113 8.75
  136      1 36B1   0.0 100.0 15,16,18,19,42      0.76 54.607  86.805  0.113 8.75
  136      2 36B1   0.0 100.0 15,17,18,19,42      0.62 54.607  86.805  0.113 8.75
  137      1 37B1   0.0 100.0 16,17,18,19,43      0.84 59.542 151.177 -0.083 8.75
  138      1 31B2   0.0 100.0 16,17,18,19,44      0.84 59.542 151.177 -0.083 8.75
  141      1 33B2   0.0 100.0 15,16,17,19,44      0.46  60.15 275.971 -0.052 8.75
  141      2 33B2   0.0 100.0 15,16,17,18,43      0.46  60.15 275.971 -0.052 8.75
  141      3 33B2   0.0 100.0 15,16,17,18,44      0.39  60.15 275.971 -0.052 8.75
  141      4 33B2   0.0 100.0 15,16,17,19,43      0.39  60.15 275.971 -0.052 8.75
  142      1 34B2   0.0 100.0 15,16,17,18,44      0.46  60.15 275.971 -0.052 8.75
  142      2 34B2   0.0 100.0 15,16,17,19,43      0.46  60.15 275.971 -0.052 8.75
  142      3 34B2   0.0 100.0 15,16,17,19,44      0.39  60.15 275.971 -0.052 8.75
  142      4 34B2   0.0 100.0 15,16,17,18,43      0.39  60.15 275.971 -0.052 8.75
  150      1 35B2   0.0 100.0 15,17,18,19,47      0.55 61.974 453.109  0.033 8.75
  150      2 35B2   0.0 100.0 15,17,18,19,48      0.54 61.974 453.109  0.033 8.75
  150      3 35B2   0.0 100.0 15,16,18,19,49      0.54 61.974 453.109  0.033 8.75
  151      1 36B2   0.0 100.0 15,16,18,19,47      0.55 61.974 453.109 -0.033 8.75
  151      2 36B2   0.0 100.0 15,17,18,19,49      0.54 61.974 453.109 -0.033 8.75
  151      3 36B2   0.0 100.0 15,16,18,19,48      0.54 61.974 453.109 -0.033 8.75
  158      1 38B2   0.0 100.0 15,16,18,19,47      0.78 63.351 107.044  -0.09 8.75
  159      1 39B2   0.0 100.0 15,17,18,19,47      0.78 63.351 107.044   0.09 8.75
  164      1 40B2   0.0 100.0 16,17,18,19,51      0.76 68.259   6.843  0.008 8.75
  164      2 40B2   0.0 100.0 16,17,18,19,50      0.59 68.259   6.843  0.008 8.75
  165      1 41B2   0.0 100.0 16,17,18,19,50      0.76 68.259   6.843  0.008 8.75
  165      2 41B2   0.0 100.0 16,17,18,19,51      0.59 68.259   6.843  0.008 8.75
  172      1 41B1   0.0 100.0 15,16,18,19,46      0.52 70.889  72.463 -0.363 8.75
  172      2 41B1   0.0 100.0 15,17,18,19,45      0.52 70.889  72.463 -0.363 8.75
  172      3 41B1   0.0 100.0 15,17,18,19,46       0.3 70.889  72.463 -0.363 8.75
  172      4 41B1   0.0 100.0 15,16,18,19,45       0.3 70.889  72.463 -0.363 8.75
  172      5 41B1   0.0 100.0 15,16,17,19,50      0.27 70.889  72.463 -0.363 8.75
  172      6 41B1   0.0 100.0 15,16,17,18,51      0.27 70.889  72.463 -0.363 8.75
  173      1 43B2   0.0 100.0 15,16,18,19,45      0.52 70.889  72.463 -0.363 8.75
  173      2 43B2   0.0 100.0 15,17,18,19,46      0.52 70.889  72.463 -0.363 8.75
  173      3 43B2   0.0 100.0 15,17,18,19,45       0.3 70.889  72.463 -0.363 8.75
  173      4 43B2   0.0 100.0 15,16,18,19,46       0.3 70.889  72.463 -0.363 8.75
  173      5 43B2   0.0 100.0 15,16,17,18,50      0.27 70.889  72.463 -0.363 8.75
  173      6 43B2   0.0 100.0 15,16,17,19,51      0.27 70.889  72.463 -0.363 8.75
  176      1 45B2   0.0 100.0 15,16,17,18,51      0.48 70.965  98.036  0.369 8.75
  176      2 45B2   0.0 100.0 15,16,17,19,50      0.48 70.965  98.036  0.369 8.75
  176      3 45B2   0.0 100.0 15,17,18,19,45       0.3 70.965  98.036  0.369 8.75
  176      4 45B2   0.0 100.0 15,16,18,19,46       0.3 70.965  98.036  0.369 8.75
  176      5 45B2   0.0 100.0 15,16,17,19,51      0.26 70.965  98.036  0.369 8.75
  176      6 45B2   0.0 100.0 15,16,17,18,50      0.26 70.965  98.036  0.369 8.75
  177      1 46B2   0.0 100.0 15,16,17,19,51      0.48 70.965  98.036  0.369 8.75
  177      2 46B2   0.0 100.0 15,16,17,18,50      0.48 70.965  98.036  0.369 8.75
  177      3 46B2   0.0 100.0 15,17,18,19,46       0.3 70.965  98.036  0.369 8.75
  177      4 46B2   0.0 100.0 15,16,18,19,45       0.3 70.965  98.036  0.369 8.75
  177      5 46B2   0.0 100.0 15,16,17,18,51      0.26 70.965  98.036  0.369 8.75
  177      6 46B2   0.0 100.0 15,16,17,19,50      0.26 70.965  98.036  0.369 8.75
  185      1 43B1   0.0 100.0 15,17,18,19,52      0.73 80.399 132.311  0.241 8.75
  185      2 43B1   0.0 100.0 15,16,18,19,52      0.59 80.399 132.311  0.241 8.75
  186      1 44B1   0.0 100.0 15,16,18,19,52      0.73 80.399 132.311 -0.241 8.75
  186      2 44B1   0.0 100.0 15,17,18,19,52      0.59 80.399 132.311 -0.241 8.75
  194      1 51B2   0.0 100.0 15,16,18,19,53      0.53 84.326  24.263   0.16 8.75
  194      2 51B2   0.0 100.0 15,17,18,19,54      0.53 84.326  24.263   0.16 8.75
  194      3 51B2   0.0 100.0 15,16,17,19,56      0.46 84.326  24.263   0.16 8.75
  194      4 51B2   0.0 100.0 15,16,17,18,55      0.46 84.326  24.263   0.16 8.75
  195      1 45B1   0.0 100.0 15,16,18,19,54      0.53 84.326  24.263  -0.16 8.75
  195      2 45B1   0.0 100.0 15,17,18,19,53      0.53 84.326  24.263  -0.16 8.75
  195      3 45B1   0.0 100.0 15,16,17,18,56      0.46 84.326  24.263  -0.16 8.75
  195      4 45B1   0.0 100.0 15,16,17,19,55      0.46 84.326  24.263  -0.16 8.75

States multiplicity: 
- 0 Singlet states:  []
- 0 Doublet states:  []
- 0 Triplet states:  []
- 0 Quartet states:  []
- 0 Quintet states:  []
 
------------------------
 IMPROVED ACTIVE SPACE 
------------------------
Initial active space (HOMO = 19 ): [ 5 , 5 ] ; [15, 16, 17, 18, 19]
Final active space (HOMO = 19 ): [ 13 , 46 ] ; [11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]
 
--------------------------------
 SUM-OVER-STATE ANALYSIS
--------------------------------
 state      gxx      gyy  gzz
     1    0.000    0.000  0.0
     2 -112.084  271.062 -0.0
