--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  ni_4_12.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
1.861 1.861 -0.001

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e   socc     lk  s2
   75      2 18B1 98.74  1.08 15,13,16,17      0.46 16.145  0.656  0.059 2.0
   90      1 23B2   4.1 94.97       17,27      0.52 16.896 10.199  0.833 2.0
   90      2 23B2   4.1 94.97       17,26      0.51 16.896 10.199  0.833 2.0
   90      3 23B2   4.1 94.97       17,21       0.5 16.896 10.199  0.833 2.0
   91      1 19B1   4.1 94.97       16,27      0.52 16.896 10.199 -0.833 2.0
   91      2 19B1   4.1 94.97       16,26      0.51 16.896 10.199 -0.833 2.0
   91      3 19B1   4.1 94.97       16,21       0.5 16.896 10.199 -0.833 2.0
   95      1 24B2  1.92 95.95 13,16,17,24      0.64 17.087  7.807  0.209 2.0
   95      2 24B2  1.92 95.95 13,16,17,24      0.42 17.087  7.807  0.209 2.0
   96      1 20B1  1.92 95.95 13,16,17,25      0.64 17.087  7.807  0.209 2.0
   96      2 20B1  1.92 95.95 13,16,17,25      0.42 17.087  7.807  0.209 2.0
   99      1 27B2  1.44 98.26       17,23      0.58 17.272  4.119  0.505 2.0
   99      2 27B2  1.44 98.26       16,22      0.58 17.272  4.119  0.505 2.0
  100      1 21B1  1.44 98.26       17,22      0.58 17.272   4.12 -0.505 2.0
  100      2 21B1  1.44 98.26       16,23      0.58 17.272   4.12 -0.505 2.0
  101      1 28B2  0.86 98.92 13,16,17,19      0.76 17.332  5.219  0.079 2.0
  101      2 28B2  0.86 98.92 13,16,17,19      0.39 17.332  5.219  0.079 2.0
  102      1 22B1  0.86 98.92 13,16,17,20      0.76 17.332  5.219 -0.079 2.0
