--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  ni_4_12.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
1.861 1.861 -0.001

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e   socc     lk  s2
    10 -0.000 -0.000 -0.0
    11  0.000 -0.000  0.0
    12 -0.000  0.000 -0.0
    13  0.000  0.000 -0.0
    14 -0.004 -0.248 -0.0
    15  0.248 -0.004 -0.0
    16 -0.000  0.000 -0.0
    17  0.000 -0.000 -0.0
    18 -0.004 -0.295 -0.0
    19 -0.295  0.004 -0.0
    20  0.000  0.000  0.0
    21  0.000 -0.000  0.0
    22 -0.000 -0.000 -0.0
    23  0.045 -0.001  0.0
    24 -0.001 -0.045  0.0
    25  0.000  0.000  0.0
    26  0.004 -0.000 -0.0
    27 -0.000 -0.004 -0.0
    28 -0.000 -0.000 -0.0
    29  0.000 -0.000  0.0
    30  0.000  0.000 -0.0
    31 -0.001 -0.063 -0.0
    32 -0.063  0.001  0.0
    33 -0.000 -0.000  0.0
    34  0.000  0.000 -0.0
    35  0.000 -0.000  0.0
    36  0.000  0.000 -0.0
    37  0.000  0.000 -0.0
    38 -0.000 -0.000 -0.0
    39 -0.000  0.000 -0.0
    40  0.000 -0.000  0.0
    41 -0.000 -0.000  0.0
    42 -0.000 -0.000  0.0
    43  0.000  0.000  0.0
    44  0.000 -0.000  0.0
    45  0.000  0.000  0.0
    46  0.000  0.000  0.0
    47 -0.001  0.000 -0.0
    48 -0.000 -0.001 -0.0
    49 -0.000  0.000  0.0
    50 -0.000 -0.000 -0.0
    51  0.000 -0.000  0.0
    52 -0.000  0.000 -0.0
    53 -0.000 -0.000  0.0
    54  0.000  0.000  0.0
    55 -0.000 -0.000 -0.0
    56 -0.000  0.000 -0.0
    57 -0.019  0.000  0.0
    58  0.000  0.019 -0.0
    59  0.000  0.000  0.0
    60 -0.014  0.000  0.0
    61  0.000  0.014  0.0
    62  0.266 -0.004  0.0
    63 -0.004 -0.266  0.0
    64  0.003 -0.000  0.0
    65  0.000  0.003 -0.0
    66  0.000 -0.000  0.0
    67  0.000 -0.000 -0.0
    68 -0.000 -0.000 -0.0
    69  0.000 -0.000  0.0
    70  0.000 -0.000 -0.0
    71  0.000  0.000  0.0
    72  0.000  0.000  0.0
    73 -0.000  0.000  0.0
    74 -0.001  0.000  0.0
    75 -0.000 -0.001 -0.0
    76  0.000  0.000 -0.0
    77  0.000  0.000  0.0
    78 -0.000 -0.000  0.0
    79 -0.000 -0.000 -0.0
    80  0.000  0.000 -0.0
    81 -0.000  0.000  0.0
    82 -0.000  0.000  0.0
    83 -0.000 -0.000 -0.0
    84 -0.000 -0.000 -0.0
    85  0.000  0.000  0.0
    86 -0.000 -0.000 -0.0
    87 -0.000  0.000 -0.0
    88  0.000  0.000  0.0
    89  0.000 -0.000 -0.0
    90 -0.249  0.004  0.0
    91  0.004  0.249  0.0
    92  0.000  0.000  0.0
    93  0.000 -0.000  0.0
    94 -0.000 -0.000  0.0
    95 -0.047  0.001 -0.0
    96 -0.001 -0.047 -0.0
    97 -0.000 -0.000  0.0
    98  0.000 -0.000 -0.0
    99 -0.060  0.001  0.0
   100  0.001  0.060 -0.0
   101 -0.012  0.000 -0.0
   102  0.000  0.012  0.0
   103 -0.000 -0.000  0.0
   104  0.001 -0.000 -0.0
   105  0.000  0.001 -0.0
   106  0.000 -0.000 -0.0
   107  0.000 -0.000 -0.0
   108 -0.000  0.000  0.0
   109 -0.000 -0.000  0.0
   110  0.000  0.027 -0.0
   111 -0.027  0.000 -0.0
   112 -0.000  0.000 -0.0
   113 -0.001 -0.052  0.0
   114  0.052 -0.001  0.0
   115  0.000  0.000 -0.0
   116  0.000  0.000 -0.0
   117 -0.000 -0.000  0.0
   118  0.000  0.000 -0.0
   119 -0.001 -0.032 -0.0
   120 -0.032  0.001  0.0
   121 -0.000 -0.000 -0.0
   122 -0.000 -0.000 -0.0
   123  0.000  0.000 -0.0
   124 -0.000 -0.000 -0.0
   125  0.000  0.000  0.0
   126  0.000 -0.000  0.0
   127  0.000 -0.000 -0.0
   128 -0.000 -0.000 -0.0
   129 -0.000 -0.000 -0.0
   130 -0.000  0.000 -0.0
   131 -0.000 -0.000 -0.0
   132  0.000  0.005  0.0
   133 -0.005  0.000  0.0
   134  0.000  0.000 -0.0
   135 -0.000 -0.000 -0.0
   136 -0.000  0.000  0.0
   137 -0.000  0.000  0.0
   138 -0.000 -0.031  0.0
   139  0.031 -0.000 -0.0
   140 -0.000 -0.000  0.0
   141  0.000  0.000 -0.0
   142 -0.000 -0.000 -0.0
   143 -0.011  0.000  0.0
   144 -0.000 -0.011  0.0
   145  0.000 -0.000 -0.0
   146  0.000  0.000 -0.0
   147 -0.000  0.000  0.0
   148 -0.000  0.000  0.0
   149 -0.000  0.000 -0.0
   150  0.000 -0.000 -0.0
   151  0.000  0.002  0.0
   152 -0.002  0.000  0.0
   153 -0.000  0.000  0.0
   154  0.000 -0.000 -0.0
   155  0.000  0.000 -0.0
   156  0.004 -0.000 -0.0
   157  0.000  0.004 -0.0
   158 -0.000 -0.000 -0.0
   159 -0.000  0.000 -0.0
   160  0.000 -0.000  0.0
   161 -0.000  0.000  0.0
   162 -0.000 -0.000  0.0
   163  0.024 -0.000 -0.0
   164  0.000  0.024 -0.0
   165  0.000 -0.000  0.0
   166 -0.000 -0.008 -0.0
   167 -0.008  0.000  0.0
   168  0.000  0.000 -0.0
   169 -0.000  0.000 -0.0
   170  0.001  0.037  0.0
   171 -0.037  0.001  0.0
   172 -0.001 -0.038 -0.0
   173 -0.038  0.001  0.0
   174  0.000 -0.000 -0.0
   175 -0.000  0.000  0.0
   176  0.000  0.000 -0.0
   177 -0.000  0.000  0.0
   178 -0.000 -0.000 -0.0
   179  0.002  0.137  0.0
   180  0.137 -0.002  0.0
   181 -0.000 -0.000  0.0
   182 -0.000  0.000  0.0
   183 -0.000  0.000  0.0
   184  0.000 -0.000  0.0
   185  0.000  0.000 -0.0
   186 -0.000 -0.000  0.0
   187  0.000  0.000 -0.0
   188 -0.000 -0.000 -0.0
   189  0.000 -0.000  0.0
   190  0.001 -0.000 -0.0
   191  0.000  0.001 -0.0
   192 -0.000  0.000  0.0
   193 -0.000 -0.000 -0.0
   194  0.000 -0.000  0.0
   195  0.000  0.007  0.0
   196  0.007 -0.000 -0.0
   197 -0.000 -0.000 -0.0
   198 -0.000 -0.000  0.0
   199  0.000  0.000  0.0
   200  0.000 -0.000 -0.0

